,country,min year,max year,empire1,empire2,empire3,note
0,Dominican Republic,1861.0,1865.0,Spain,indepstate,
1,Guyana,1966.0,1970.0,indepstate,British,
2,Ireland,1922.0,1924.0,indepstate,British,
3,Netherlands,1850.0,1974.0,indepstate,,
4,Portugal,1850.0,1974.0,indepstate,,
5,Poland,1850.0,1917.0,KKAustria,Romanov,
6,Poland,1921.0,1922.0,Romanov,indepstate,
7,Austria,1850.0,1917.0,indepstate,,
8,Hungary,1850.0,1918.0,indepstate,,
9,Italy,1850.0,1860.0,KKAustria,indepstate,
10,North Macedonia,1991.0,1991.0,Yugoslavia,indepstate,
11,Croatia,1991.0,1991.0,Yugoslavia,indepstate,
12,Yugoslavia,1918.0,1991.0,indepstate,,
13,Slovenia,1991.0,1991.0,Yugoslavia,indepstate,
14,Moldova,1991.0,1991.0,SU,indepstate,
15,Russia,1850.0,1917.0,indepstate,,
16,Russia,1918.0,1991.0,indepstate,,
17,Estonia,1991.0,1991.0,SU,indepstate,
18,Latvia,1991.0,1991.0,SU,indepstate,
19,Lithuania,1991.0,1991.0,SU,indepstate,
20,Ukraine,1850.0,1917.0,KKAustria,Romanov,
21,Ukraine,1991.0,1991.0,SU,indepstate,
22,Belarus,1991.0,1991.0,SU,indepstate,
23,Armenia,1991.0,1991.0,SU,indepstate,
24,Georgia,1991.0,1991.0,SU,indepstate,
25,Azerbaijan,1991.0,1991.0,SU,indepstate,
26,Togo,1960.0,1960.0,indepstate,French,
27,Cameroon,1915.0,1959.0,French,British,
28,Somalia,1890.0,1940,British,Italy,,Somalia split between British Somalia and Italian Somalia until 1941 when Britain regained control
28,Somalia,1941,1950,British,,,British Military administration until Nov 1949 in Italian Somalia - British Somalia as is
28,Somalia,1951,1959,Italy,British,,half controlled by Italy under UN Trusteeship - other half by Britain
28,Somalia,1960.0,1960.0,indepstate,British,,
29,Zimbabwe,1965.0,1969.0,indepstate,British,
30,South Africa,1910.0,1914.0,indepstate,British,
31,Mauritius,1968.0,1968.0,indepstate,British,
32,Morocco,1956.0,1960.0,indepstate,French,
33,Algeria,1962.0,1966.0,indepstate,French,
34,Tunisia,1956.0,1956.0,indepstate,French,
35,Libya,1951.0,1955.0,indepstate,British,
36,Turkey,1850.0,1923.0,indepstate,,
37,Egypt,1923.0,1926.0,indepstate,British,
38,Syria,1946.0,1948.0,indepstate,French,
39,Kuwait,1961.0,1965.0,indepstate,British,
40,Bahrain,1971.0,1975.0,indepstate,British,
41,Turkmenistan,1991.0,1991.0,SU,indepstate,
42,Tajikistan,1991.0,1991.0,SU,indepstate,
43,Kyrgyzstan,1991.0,1991.0,SU,indepstate,
44,Uzbekistan,1991.0,1991.0,SU,indepstate,
45,Kazakhstan,1991.0,1991.0,SU,indepstate,
46,Myanmar,1948.0,1951.0,indepstate,British,
47,Sri Lanka,1948.0,1951.0,indepstate,British,
48,Laos,1953.0,1957.0,indepstate,French,
49,Papua New Guinea,1883.0,1884.0,indepstate,British,,Wimmer says Papua British since 1883 - Germany colonised New Guinea in Nov 1884 so half indep until 1885
49,Papua New Guinea,1885.0,1904.0,Germany,British,,Wimmer says Papua British until 1904 - Germany colonised New Guinea in Nov 1884 so half indep until 1885
49,Papua New Guinea,1905.0,1918.0,Germany,Australia,,Germany lost New Guinea to Australia at Treaty of Versailles in June 1919 so in 1919 it already belonged to Australia
49,Papua New Guinea,1919.0,1974.0,Australia,,, gained independence in Sept 1975 so Australia until then - keeping to 1974 end date to match Wimmer
